"4622000000TUSCALOOSA, AL                                    GSE  S02040000726200092985011239001396800AL063ALABAMA                   GREENE                 2023010102880002015"
"4622000000TUSCALOOSA, AL                                    GSE  S02040000726200092985011239001396800AL065ALABAMA                   HALE                   2023010102880002015"
"2002000000DOTHAN, AL                                        GSE  S01630000726200092985011239001396800AL067ALABAMA                   HENRY                  2023010101710002011"
"2002000000DOTHAN, AL                                        GSE  S01630000726200092985011239001396800AL069ALABAMA                   HOUSTON                2023010101710002011"
"4246000000SCOTTSBORO, AL                                    GSE  S01480000726200092985011239001396800AL071ALABAMA                   JACKSON                2023010101480002022"
"1382000000BIRMINGHAM-HOOVER, AL                             GSE  S02930000726200092985011239001396800AL073ALABAMA                   JEFFERSON              2023010102930002022"
9999900000NON-METRO                                         GSE  S03520000726200092985011239001396800AL075ALABAMA                   LAMAR                  2023010103520002022
"2252000000FLORENCE-MUSCLE SHOALS, AL                        GSE  S01510000726200092985011239001396800AL077ALABAMA                   LAUDERDALE             2023010101760002019"
"1946000000DECATUR, AL                                       GSE  S01880000726200092985011239001396800AL079ALABAMA                   LAWRENCE               2023010101880002022"
"1222000000AUBURN-OPELIKA, AL                                GSE  S03090000726200092985011239001396800AL081ALABAMA                   LEE                    2023010103090002022"
"2662000000HUNTSVILLE, AL                                    GSE  S02710000726200092985011239001396800AL083ALABAMA                   LIMESTONE              2023010102710002022"
"3386000000MONTGOMERY, AL                                    GSE  S01900000726200092985011239001396800AL085ALABAMA                   LOWNDES                2023010101900002022"
9999900000NON-METRO                                         GSE  S01130000726200092985011239001396800AL087ALABAMA                   MACON                  2023010101130002022
"2662000000HUNTSVILLE, AL                                    GSE  S02710000726200092985011239001396800AL089ALABAMA                   MADISON                2023010102710002022"
9999900000NON-METRO                                         GSE  S00710000726200092985011239001396800AL091ALABAMA                   MARENGO                2023010101060002019
9999900000NON-METRO                                         GSE  S01200000726200092985011239001396800AL093ALABAMA                   MARION                 2023010101200002022
"1070000000ALBERTVILLE, AL                                   GSE  S01510000726200092985011239001396800AL095ALABAMA                   MARSHALL               2023010101510002022"
"3366000000MOBILE, AL                                        GSE  S01450000726200092985011239001396800AL097ALABAMA                   MOBILE                 2023010101450002008"
9999900000NON-METRO                                         GSE  S00670000726200092985011239001396800AL099ALABAMA                   MONROE                 2023010101070002010
"3386000000MONTGOMERY, AL                                    GSE  S01900000726200092985011239001396800AL101ALABAMA                   MONTGOMERY             2023010101900002022"
"1946000000DECATUR, AL                                       GSE  S01880000726200092985011239001396800AL103ALABAMA                   MORGAN                 2023010101880002022"
9999900000NON-METRO                                         GSE  S01210000726200092985011239001396800AL105ALABAMA                   PERRY                  2023010101210002022
"4622000000TUSCALOOSA, AL                                    GSE  S02040000726200092985011239001396800AL107ALABAMA                   PICKENS                2023010102880002015"
"4598000000TROY, AL                                          GSE  S01360000726200092985011239001396800AL109ALABAMA                   PIKE                   2023010101360002022"
9999900000NON-METRO                                         GSE  S01250000726200092985011239001396800AL111ALABAMA                   RANDOLPH               2023010101250002022
"1798000000COLUMBUS, GA-AL                                   GSE  S02700000726200092985011239001396800AL113ALABAMA                   RUSSELL                2023010102700002022"
"1382000000BIRMINGHAM-HOOVER, AL                             GSE  S02930000726200092985011239001396800AL115ALABAMA                   ST. CLAIR              2023010102930002022"
"1382000000BIRMINGHAM-HOOVER, AL                             GSE  S02930000726200092985011239001396800AL117ALABAMA                   SHELBY                 2023010102930002022"
9999900000NON-METRO                                         GSE  S00930000726200092985011239001396800AL119ALABAMA                   SUMTER                 2023010100930002022
"4518000000TALLADEGA-SYLACAUGA, AL                           GSE  S01080000726200092985011239001396800AL121ALABAMA                   TALLADEGA              2023010101580002009"
"1076000000ALEXANDER CITY, AL                                GSE  S01490000726200092985011239001396800AL123ALABAMA                   TALLAPOOSA             2023010101950002016"
"4622000000TUSCALOOSA, AL                                    GSE  S02040000726200092985011239001396800AL125ALABAMA                   TUSCALOOSA             2023010102880002015"
"2753000000JASPER, AL                                        GSE  S00750000726200092985011239001396800AL127ALABAMA                   WALKER                 2023010100860002008"
"3366000000MOBILE, AL                                        GSE  S01450000726200092985011239001396800AL129ALABAMA                   WASHINGTON             2023010101450002008"
9999900000NON-METRO                                         GSE  S01010000726200092985011239001396800AL131ALABAMA                   WILCOX                 2023010101010002022
9999900000NON-METRO                                         GSE  S01110000726200092985011239001396800AL133ALABAMA                   WINSTON                2023010101140002021
9999900000NON-METRO                                         GSE  S00850000726200092985011239001396800AR001ARKANSAS                  ARKANSAS               2023010100970002021
9999900000NON-METRO                                         GSE  S00590000726200092985011239001396800AR003ARKANSAS                  ASHLEY                 2023010100790002013
"3426000000MOUNTAIN HOME, AR                                 GSE  S01500000726200092985011239001396800AR005ARKANSAS                  BAXTER                 2023010101500002022"
