fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
AL-077,AL, ALABAMA ,077,LAUDERDALE COUNTY,151000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","499100,638950,772300,959800"
AL-079,AL, ALABAMA ,079,LAWRENCE COUNTY,188000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","553150,708150,855950,1063750"
AL-081,AL, ALABAMA ,081,LEE COUNTY,309000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","703800,901000,1089100,1353500"
AL-083,AL, ALABAMA ,083,LIMESTONE COUNTY,271000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","539350,690450,834600,1037200"
AL-085,AL, ALABAMA ,085,LOWNDES COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","504850,646300,781200,970850"
AL-087,AL, ALABAMA ,087,MACON COUNTY,113000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","507150,649250,784800,975300"
AL-089,AL, ALABAMA ,089,MADISON COUNTY,271000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","602600,771450,932500,1158850"
AL-091,AL, ALABAMA ,091,MARENGO COUNTY,71000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","502550,643350,777650,966450"
AL-093,AL, ALABAMA ,093,MARION COUNTY,120000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","483000,618300,747400,928850"
AL-095,AL, ALABAMA ,095,MARSHALL COUNTY,151000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","805000,1030550,1245700,1548100"
AL-097,AL, ALABAMA ,097,MOBILE COUNTY,145000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","477250,610950,738500,917800"
AL-099,AL, ALABAMA ,099,MONROE COUNTY,67000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","548550,702250,848850,1054900"
AL-101,AL, ALABAMA ,101,MONTGOMERY COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","583050,746400,902250,1121250"
AL-103,AL, ALABAMA ,103,MORGAN COUNTY,188000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","503700,644800,779450,968650"
AL-105,AL, ALABAMA ,105,PERRY COUNTY,121000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","494500,633050,765200,950950"
AL-107,AL, ALABAMA ,107,PICKENS COUNTY,204000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","657800,842100,1017900,1265000"
AL-109,AL, ALABAMA ,109,PIKE COUNTY,136000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","621000,795000,960950,1194250"
AL-111,AL, ALABAMA ,111,RANDOLPH COUNTY,125000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","560050,716950,866650,1077050"
AL-113,AL, ALABAMA ,113,RUSSELL COUNTY,270000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","690000,883300,1067750,1326950"
AL-115,AL, ALABAMA ,115,ST. CLAIR COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","671600,859750,1039250,1291550"
